   I        Q 
3.244012e+01        0 
2.060226e+01        0 
1.282336e+01        0 
1.653040e+01        0 
5.791391e-01        0 
1.028526e+01        0 
1.672454e+01        0 
2.855558e+01        0 
4.340835e+00        0 
2.187276e+01        0 
4.551455e+00        0 
2.360437e+01        0 
1.361970e+01        0 
2.642424e+01        0 
4.867034e+01        0 
3.175692e+01        0 
9.101238e+00        0 
1.400198e+01        0 
2.526479e+01        0 
2.366836e+01        0 
5.424230e+00        0 
2.979126e+01        0 
2.095632e+01        0 
1.065107e+01        0 
8.884915e+00        0 
2.248348e+01        0 
3.097755e+01        0 
2.141685e+01        0 
2.376618e+01        0 
1.771610e+01        0 
2.571672e+01        0 
3.446876e+01        0 
2.479387e+00        0 
2.821198e+01        0 
1.878273e+01        0 
1.980555e+01        0 
7.199289e-01        0 
1.074592e+01        0 
1.409813e+01        0 
3.629123e+01        0 
2.675732e+01        0 
8.311410e+00        0 
1.437335e+01        0 
2.771828e+00        0 
2.095598e+01        0 
1.729495e+01        0 
1.048757e+01        0 
1.352761e+01        0 
1.309073e+01        0 
1.930696e+01        0 
1.703193e+01        0 
9.986701e+00        0 
3.742869e+01        0 
2.377686e+01        0 
2.302020e+01        0 
1.098103e+01        0 
1.839895e+01        0 
1.210322e+01        0 
2.674927e+01        0 
2.222769e+01        0 
6.463990e+00        0 
4.021313e+00        0 
2.005033e+01        0 
2.958930e+01        0 
7.443857e+00        0 
3.332320e+01        0 
3.516611e+01        0 
2.526867e+01        0 
3.154267e+00        0 
4.201759e+00        0 
2.093901e+01        0 
1.495496e+01        0 
9.394260e+00        0 
1.362116e+01        0 
2.717519e+01        0 
2.685288e+01        0 
4.851931e+00        0 
1.075940e+01        0 
2.372403e+01        0 
3.666213e+01        0 
1.593749e+01        0 
5.982250e+00        0 
6.045854e+00        0 
2.019641e+01        0 
2.746936e+01        0 
3.104395e+00        0 
3.088012e+01        0 
7.604942e+00        0 
1.607503e+01        0 
1.539115e+01        0 
1.988779e+01        0 
1.403076e+01        0 
1.961606e+01        0 
1.404185e+01        0 
4.905479e+00        0 
4.159706e+01        0 
3.913857e+01        0 
8.296739e+00        0 
3.416615e+01        0 
1.184302e+01        0 
2.554639e+01        0 
2.546145e+01        0 
2.390724e+01        0 
3.905807e+01        0 
2.483409e+01        0 
2.455905e+01        0 
1.033311e+01        0 
2.571456e+01        0 
1.509723e+01        0 
6.793228e+00        0 
1.067613e+01        0 
2.907782e+01        0 
2.527529e+01        0 
7.994940e+00        0 
2.808063e+01        0 
1.337251e+01        0 
2.415090e+01        0 
1.132369e+01        0 
1.591997e+01        0 
2.218379e+01        0 
3.975117e+01        0 
1.327640e+01        0 
1.258307e+01        0 
