   I        Q 
2.617188e-01 3.243906e+01 
1.282698e+01 1.612209e+01 
6.912836e+00 1.080052e+01 
1.605992e+01 3.915731e+00 
4.464413e-01 3.689068e-01 
6.423755e+00 8.032550e+00 
8.983170e+00 1.410720e+01 
2.766685e+01 -7.068703e+00 
1.579320e+00 -4.043340e+00 
1.686394e+01 -1.392929e+01 
-2.058972e+00 -4.059110e+00 
9.641538e+00 -2.154546e+01 
-1.288500e+01 -4.412827e+00 
-3.030422e+00 -2.624990e+01 
-4.574288e+01 1.662501e+01 
1.637710e+01 2.720832e+01 
8.931791e+00 1.748045e+00 
1.379798e+01 -2.381428e+00 
-4.540569e+00 -2.485343e+01 
-1.842837e+01 1.485216e+01 
-5.379099e+00 -6.982577e-01 
1.437465e+01 2.609385e+01 
7.235129e-01 -2.094383e+01 
2.917947e+00 1.024358e+01 
4.254700e+00 -7.799951e+00 
-2.101719e+01 -7.986533e+00 
1.490999e+01 2.715329e+01 
-1.115558e+01 -1.828208e+01 
1.322270e+01 1.974820e+01 
6.662197e-01 -1.770357e+01 
-2.569648e+01 1.020225e+00 
1.291813e+01 3.195649e+01 
-1.564527e-01 -2.474446e+00 
2.779147e+01 4.852828e+00 
-1.707908e+01 -7.816376e+00 
1.813474e+01 7.961847e+00 
-6.795263e-01 -2.377848e-01 
7.841500e+00 -7.347491e+00 
8.471755e+00 1.126883e+01 
6.377709e+00 -3.572643e+01 
-2.110701e+01 1.644530e+01 
2.776627e+00 -7.833893e+00 
-6.175704e-01 1.436008e+01 
-5.636460e-01 2.713915e+00 
2.082168e+01 -2.368733e+00 
-1.506305e+01 -8.498227e+00 
3.264600e-01 1.048248e+01 
1.112147e+01 7.701232e+00 
1.224445e+01 -4.630432e+00 
-3.340790e+00 -1.901573e+01 
-8.162782e+00 1.494843e+01 
3.132568e+00 9.482680e+00 
3.708980e+01 -5.025300e+00 
-1.900573e+01 -1.428710e+01 
2.245085e+01 -5.088138e+00 
-6.936165e+00 -8.513091e+00 
1.091933e+00 -1.836652e+01 
-8.939364e+00 -8.159391e+00 
-2.560747e+01 7.731789e+00 
2.001605e+01 9.665825e+00 
-4.050474e+00 -5.037542e+00 
4.005070e+00 -3.610764e-01 
1.713989e+01 -1.040384e+01 
-2.213210e+01 -1.963916e+01 
-6.071092e+00 -4.307303e+00 
-2.033532e+01 2.639905e+01 
3.103608e+01 -1.653533e+01 
-2.525793e+01 -7.367147e-01 
3.130331e+00 3.878432e-01 
6.915393e-01 -4.144461e+00 
-2.093314e+01 -4.958929e-01 
2.411348e+00 1.475928e+01 
9.238071e+00 1.705918e+00 
-1.358366e+01 -1.010039e+00 
2.629068e+01 6.876838e+00 
-1.888224e+01 -1.909288e+01 
1.375250e-01 4.849981e+00 
-1.074445e+01 5.670012e-01 
-1.424891e+01 1.896835e+01 
3.474479e+01 1.170092e+01 
-5.370301e+00 -1.500544e+01 
4.647797e+00 -3.766338e+00 
-3.899936e+00 -4.619832e+00 
-1.537560e+01 1.309526e+01 
2.738616e+01 2.136351e+00 
8.906407e-01 2.973891e+00 
1.124175e+01 -2.876117e+01 
-6.878702e+00 3.243240e+00 
-1.277042e+01 -9.763360e+00 
1.521625e+01 -2.313724e+00 
-1.899072e+01 -5.905651e+00 
6.803309e-01 -1.401426e+01 
-1.320601e+01 1.450487e+01 
3.638999e-01 -1.403714e+01 
-3.236417e+00 -3.686371e+00 
-4.063622e+01 -8.888935e+00 
-1.507629e+00 3.910953e+01 
-5.901608e+00 5.831543e+00 
2.105774e+01 2.690534e+01 
1.600475e+00 -1.173438e+01 
1.909891e+01 1.696613e+01 
2.844086e-01 -2.545986e+01 
2.439201e+00 2.378248e+01 
2.023090e+01 -3.341023e+01 
-2.158272e+01 1.228488e+01 
1.519442e+01 -1.929446e+01 
-7.219371e+00 7.392823e+00 
-7.696805e+00 -2.453565e+01 
-7.441888e+00 1.313562e+01 
-6.786728e+00 -2.970882e-01 
5.380646e-01 -1.066256e+01 
-1.423590e+01 2.535466e+01 
2.132173e+01 -1.357293e+01 
-1.259096e+00 -7.895172e+00 
-2.251492e+01 -1.678095e+01 
-1.117646e+01 7.342394e+00 
-1.521860e+01 1.875261e+01 
1.022274e+01 -4.870479e+00 
-7.562583e+00 1.400902e+01 
-7.342960e+00 -2.093326e+01 
-2.011579e+01 3.428572e+01 
9.990793e+00 8.743384e+00 
1.232802e+01 2.520638e+00 
-1.851046e+01 6.918967e+00 
2.114295e+01 1.159475e+01 
-2.897286e+00 5.189978e+00 
1.210678e+01 -8.322100e+00 
-1.113617e+01 1.237898e+01 
1.693741e+01 3.558351e+00 
2.533666e+00 -4.099976e+00 
-2.059302e+00 -2.525721e+00 
4.185224e-01 1.196540e+01 
1.021100e+01 3.697880e+00 
2.281786e+01 -5.703998e+00 
-1.449913e+01 -1.636964e+01 
9.291388e+00 -3.081324e+00 
-1.847647e+01 8.036352e+00 
1.698144e+01 -9.485353e+00 
-6.381308e+00 9.403009e+00 
3.523948e-01 -2.295892e+01 
-2.031408e+01 1.855380e+01 
1.897415e+01 1.343692e+01 
-1.151860e+00 -1.620111e+01 
5.329405e+00 9.310076e+00 
-1.336445e+01 -2.813841e+00 
2.295381e+01 1.610677e+01 
1.084979e+01 -1.891574e+01 
-1.732438e+01 -7.816107e+00 
2.528425e+01 1.081929e+01 
-1.474286e+01 -3.374967e+01 
-8.511737e+00 9.273729e+00 
-7.244802e+00 -5.605962e-01 
-2.028137e+00 9.390878e+00 
1.413769e+01 3.689526e+00 
4.010348e+00 -2.843122e+01 
-3.992367e+01 1.805600e+01 
4.109338e+01 1.292861e+00 
-3.290984e+01 -1.350341e+00 
2.031643e+01 6.522523e-01 
5.635492e+00 1.100285e+01 
-8.946162e+00 -3.388048e+01 
1.887496e+00 2.961661e+01 
4.763607e+00 -1.278404e+01 
1.730712e+01 -1.016498e+01 
-1.179969e+01 -1.694990e+01 
-1.047021e+01 -2.109557e+01 
-3.189743e+01 1.208049e+01 
1.085130e+01 1.081699e+01 
-8.210626e+00 -8.460924e+00 
-8.074618e+00 2.658262e+00 
1.456331e+00 5.248648e+00 
-1.587616e+01 -7.641820e+00 
4.551802e+00 1.120235e+01 
-1.713955e+01 4.396097e+00 
1.579017e+01 2.763314e+00 
-6.635018e+00 -3.682639e+00 
-1.643863e+01 -2.255078e+00 
7.999482e+00 7.798396e+00 
-1.989235e+01 1.012405e+01 
1.578041e+01 -3.755545e+00 
-8.484990e+00 9.480207e+00 
-1.376621e+01 -4.607256e+00 
1.662123e+01 2.238187e+01 
-4.800546e+00 -4.352168e+00 
1.589996e+01 -8.314917e+00 
-1.422771e+01 -6.768641e+00 
-1.405379e+01 6.462882e+00 
1.757177e+01 -7.254370e+00 
-4.702563e+01 1.151693e+00 
1.946469e+01 2.417362e+01 
-8.698300e+00 -2.012043e+00 
-5.878470e+00 1.242051e+00 
3.144655e-01 1.614498e+01 
-2.159656e+01 -9.891169e+00 
4.151830e+00 5.033532e+01 
8.243136e+00 -1.672053e+01 
-7.606208e+00 3.211085e+01 
1.343986e+01 1.269287e+01 
1.407519e+01 1.491454e+01 
3.005876e+01 5.506089e+00 
-3.006878e+00 -1.949609e+01 
1.239460e+01 1.410971e+01 
-1.137880e+00 -2.635808e+00 
2.287939e+01 3.674967e+00 
7.126729e-01 -1.416213e+01 
-1.608573e+00 7.336771e+00 
1.388974e+01 -9.662127e+00 
-6.820601e+00 5.816758e+00 
1.811071e+00 1.666657e+00 
3.621600e+01 1.138752e+01 
-1.154147e+01 -4.034162e+01 
-1.156531e+00 1.348711e+01 
5.981249e+00 -3.061034e-01 
3.125603e+00 -1.703070e+01 
1.608257e+00 9.737393e+00 
4.779928e+00 -2.054797e+01 
-6.315320e+00 -2.434942e+00 
-3.326677e+00 -8.066459e+00 
-8.750107e+00 -3.581707e+00 
-1.119123e+01 -2.495521e+00 
-6.774244e+00 1.223007e+01 
-1.483517e+00 4.944150e+00 
5.972394e+00 -3.634435e+00 
-2.319436e+01 1.152770e+01 
1.149626e+01 1.293513e+01 
2.190243e+00 2.202886e+01 
2.737214e+01 -5.466671e+00 
-1.091264e+01 -4.412425e+00 
1.787009e+01 2.959929e+01 
2.892165e+01 -2.340985e+01 
-2.383889e-01 -2.599219e+00 
1.618842e+01 -1.072610e+01 
-3.910720e+00 -2.145925e+01 
-1.898984e+00 5.427693e+00 
-2.363307e+00 -1.456266e+01 
-3.013406e+00 1.346895e+01 
2.310447e+01 8.649355e-01 
1.924645e+00 -2.234270e+01 
1.957785e+01 -3.640994e-01 
-1.392215e+01 -4.379114e+01 
-8.722775e+00 9.291627e+00 
-4.877561e+00 -1.983235e+01 
-1.506892e+01 1.955402e+00 
5.895205e+00 -1.029657e+01 
-3.072751e+01 -1.929385e+00 
1.571635e+01 7.397695e+00 
-2.078836e+01 -1.490738e+01 
-9.403957e+00 1.195585e+01 
6.943990e-01 7.669366e+00 
-2.900137e+00 -6.682196e-01 
1.703665e-01 7.444965e+00 
3.334869e+00 2.391837e+00 
4.428763e+00 2.048449e+00 
1.567845e+01 -6.648815e+00 
-1.536549e+01 -2.466445e+01 
-1.439029e+01 1.795577e+01 
1.231270e+01 2.076675e+00 
-4.983635e+00 -1.072177e+01 
-2.603130e+00 1.320379e+01 
