   I        Q 
 265       53 
-1115     -106 
-690     -106 
-212      478 
 637     1009 
 743     -319 
-425      319 
-372      796 
 212     -372 
 531      319 
1327     -159 
 159      106 
 425      425 
-212      584 
-531     -425 
  53     -903 
 159      956 
-425       53 
 637      212 
 743      690 
 212     -106 
 743      265 
-265     -106 
-690     -478 
-690        0 
 212      159 
-159     -159 
 212     -584 
 584     -849 
 265      212 
 319      -53 
-903      159 
-265     -531 
-106      956 
 796      478 
 106      372 
-849     -319 
 849     -584 
 265     -531 
   0     -531 
-265     -372 
 637     -425 
-425      531 
1168    -1380 
-106      -53 
-531     -106 
-690     -690 
-159        0 
   0      319 
-212      159 
-372      478 
 319      372 
-425     -637 
 159      478 
-159      372 
 319      690 
-796      584 
 478       53 
-531     -265 
-425      425 
 531     -265 
 903     -319 
-212      159 
 106      478 
-637      478 
-849      425 
 637      796 
 372      159 
   0     -531 
-265     -265 
-637     -319 
-265      106 
 796      743 
-106      159 
 319      478 
  53    -1009 
-690      159 
-903        0 
 531     -743 
 106      478 
1486      319 
 -53      956 
 319        0 
  53      425 
-319      265 
-425     1380 
-531      531 
 531    -1062 
-265     -265 
-531      265 
-106     -372 
-372      903 
 -53     -372 
-956      425 
-637      265 
  53      212 
-425     -265 
-319      690 
 956      159 
 690      690 
-106      212 
-637     -478 
-478      425 
1168      637 
 -53      956 
 159      159 
   0      637 
 584     -425 
-425     -319 
-372      372 
-956      -53 
-796     -372 
 159     -372 
 -53      690 
 425      849 
-265      849 
 212     -265 
 372      425 
1009     -159 
 -53      372 
-106      265 
  53      -53 
  53      372 
-106     -372 
 956        0 
 637      584 
-265      265 
 425        0 
 637     -425 
-478      478 
-584      903 
-159      319 
 106     -531 
  53      372 
 -53     -212 
 106      159 
-478     -265 
-478      -53 
 159     -212 
-106      106 
-212     -212 
-903     -849 
 106      106 
 212      372 
-743     -212 
-106      637 
   0      425 
 425      319 
-372      743 
-319     -319 
-425        0 
-956     -372 
  53      -53 
 159     -159 
-425      159 
-478     -478 
-637      159 
-106     -372 
 531      531 
-1486      -53 
-1168      425 
 531      372 
-372      -53 
 -53      159 
 637     -425 
 796      212 
   0      584 
 319      106 
 106      265 
 265     -796 
-212      425 
-796      372 
 319     -372 
 319      425 
-212      478 
-319     -159 
-743     -106 
-265      319 
-319     -849 
-212      956 
 849     -106 
 159      425 
-212     -531 
 159      319 
 159      796 
 584      212 
 478      319 
 531     -425 
 106    -1062 
 212     -159 
